"구분별(1)",구분별(2),2023,2023,2023,2023,2023
"구분별(1)",구분별(2),채무보유자 (명),평균 대출잔액 (만원),평균 대출잔액 (만원),평균 대출잔액 (만원),평균 대출잔액 (만원)
"구분별(1)",구분별(2),소계,소계,주택담보,신용대출,기타
"부산광역시",소계,955006,7482,1666,3803,2013
"청년(18~39세)",소계,272880,5515,1383,2206,1926
"성 별",남자,156382,5883,1483,2425,1975
"성 별",여자,116498,5147,1283,1987,1877
"연령별",18~24세,30859,1433,410,207,816
"연령별",25~29세,66980,3860,1129,972,1759
"연령별",30~34세,87144,7280,1759,2867,2653
"연령별",35~39세,87897,9487,2234,4777,2475
"구군별",중구,3629,4254,1152,1357,1746
"구군별",서구,6964,5173,1361,1990,1822
"구군별",동구,7366,5096,1349,1888,1859
"구군별",영도구,6273,4934,1316,1990,1627
"구군별",부산진구,38399,5952,1422,2446,2084
"구군별",동래구,20473,6507,1503,2930,2075
"구군별",남구,19479,5718,1411,2587,1720
"구군별",북구,21012,5047,1323,1944,1781
"구군별",해운대구,27912,6378,1563,2750,2065
"구군별",사하구,23267,4646,1273,1661,1712
"구군별",금정구,15201,5058,1285,1885,1888
"구군별",강서구,15254,5826,1368,2047,2411
"구군별",연제구,17660,6693,1564,2866,2263
"구군별",수영구,18160,6311,1441,2535,2335
"구군별",사상구,16969,4612,1264,1767,1580
"구군별",기장군,14862,5535,1465,1954,2116
