연번,분야,사업명,사업기간,소관부서,데이터기준일자
1,스마트 돌봄서비스 지원,독거노인 응급안전안심서비스 제공,연중사업,노인복지과,2025-12-31
2,스마트 돌봄서비스 지원,혼자계신 부모님 안부안심콜,연중사업,노인복지과,2025-12-31
3,스마트 돌봄서비스 지원,독거노인종합지원센터 운영,연중사업,노인복지과,2025-12-31
4,스마트 돌봄서비스 지원,독거노인 명절위로금 지원,연중사업,노인복지과,2025-12-31
5,스마트 돌봄서비스 지원,빅데이터 기반 1인가구 돌봄서비스 사업,연중사업,노인복지과,2025-12-31
6,안심 시스템 구축,심야마을버스 여성 안심귀가서비스 제공,연중사업,대중교통과,2025-12-31
7,안심 시스템 구축,시니어 마을 안전지킴이 활동,연중사업,노인복지과,2025-12-31
8,1인가구 사회적 관계망 형성 지원,1인가구 커뮤니티활동 지원 사업,연중사업,여성가족과,2025-12-31
9,1인가구 사회적 관계망 형성 지원,가족센터 건립 확대,연중사업,여성가족과,2025-12-31
10,"신체, 정신건강 관리서비스 제공 확대",노인맞춤 돌봄서비스 제공,연중사업,노인복지과,2025-12-31
11,"신체, 정신건강 관리서비스 제공 확대",노인 1인가구 치매 치료관리비 지원,연중사업,건강정책과,2025-12-31
12,"신체, 정신건강 관리서비스 제공 확대",고독사 위험군 지원사업,연중사업,복지정책과,2025-12-31
13,"신체, 정신건강 관리서비스 제공 확대",청년고독사 고위험군 지원,연중사업,복지정책과,2025-12-31
