필드명,한글명,그룹,비고
plcyNo,정책번호,식별,정책 고유번호. 20자리 숫자
plcyNm,정책명,식별,정책 이름
plcyExplnCn,정책설명내용,식별,정책의 목적과 취지를 요약한 설명문
lclsfNm,정책대분류명,분류,정책 대분류. 일자리 / 주거 / 교육 / 복지문화 / 참여권리
mclsfNm,정책중분류명,분류,"정책 중분류. 취업, 주택 및 거주지, 전월세 및 주거급여 지원 등 17종"
plcyKywdNm,정책키워드명,분류,"정책 성격 키워드. 대출, 보조금, 바우처, 주거지원, 신용회복 등 17종"
pvsnInstGroupCd,제공기관그룹코드,분류,정책을 제공하는 기관의 유형. 중앙부처 / 지자체
plcyPvsnMthdCd,정책제공방법코드,분류,"지원이 전달되는 방식. 보조금, 직접대출, 바우처, 정보제공 등 13종"
sprtTrgtMinAge,지원대상최소연령,요건,지원 대상의 최소 나이(만 나이)
sprtTrgtMaxAge,지원대상최대연령,요건,지원 대상의 최대 나이(만 나이)
sprtTrgtAgeLmtYn,지원대상연령제한여부,요건,연령 제한 적용 여부 플래그. Y / N
zipCd,법정동코드,요건,정책이 적용되는 지역의 법정동(시군구) 코드 목록
jobCd,정책취업요건코드,요건,"지원 대상의 취업 상태 요건. 재직자, 미취업자, 프리랜서, (예비)창업자 등 10종"
schoolCd,정책학력요건코드,요건,"지원 대상의 학력 요건. 고교 재학, 대학 재학, 대졸 예정, 석·박사 등 10종"
plcyMajorCd,정책전공요건코드,요건,"지원 대상의 전공 계열 요건. 인문, 사회, 상경, 이학, 공학, 예체능 등 9종"
mrgSttsCd,결혼상태코드,요건,지원 대상의 혼인 상태 요건. 기혼 / 미혼 / 제한없음
sbizCd,정책특화요건코드,요건,"지원 대상의 특화 조건. 중소기업, 여성, 기초생활수급자, 장애인, 군인 등 10종"
earnCndSeCd,소득조건구분코드,요건,소득 요건의 유형 구분. 무관 / 연소득 / 기타
earnMinAmt,소득최소금액,요건,소득 요건의 하한 금액
earnMaxAmt,소득최대금액,요건,소득 요건의 상한 금액
earnEtcCn,소득기타내용,요건,금액으로 표현되지 않는 소득 요건 서술. 예) 중위소득 60% 이하
addAplyQlfcCndCn,추가신청자격조건내용,요건,"연령·소득 외의 추가 자격 조건 서술. 무주택 여부, 재산 기준, 거주 요건 등"
ptcpPrpTrgtCn,참여제안대상내용,요건,"지원에서 제외되는 대상 서술. 중복 수혜자, 재학생, 외국 국적자 등"
aplyPrdSeCd,신청기간구분코드,기간,신청 기간의 성격. 특정기간 / 상시 / 마감
bizPrdSeCd,사업기간구분코드,기간,사업 기간의 성격. 특정기간 / 기타
bizPrdBgngYmd,사업기간시작일자,기간,사업 시작일. YYYYMMDD 형식
bizPrdEndYmd,사업기간종료일자,기간,사업 종료일. YYYYMMDD 형식
bizPrdEtcCn,사업기간기타내용,기간,"사업 기간을 날짜로 표현할 수 없을 때의 서술. 상시, 계속, 연중, 연례반복 등"
aplyYmd,신청기간,기간,신청 접수 기간. 예) 20250101 ~ 20251231
plcySprtCn,정책지원내용,혜택,지원 대상과 지원 내용의 상세 서술. 지원 금액과 지원 기간 포함
sprtSclCnt,지원규모수,혜택,선발 예정 인원 수
sprtSclLmtYn,지원규모제한여부,혜택,지원 인원에 정원 제한이 있는지 여부. Y / N
sprtArvlSeqYn,지원선착순여부,혜택,선착순으로 선발하는지 여부. Y / N
plcyAplyMthdCn,정책신청방법내용,신청,신청하는 방법과 절차 안내
srngMthdCn,심사방법내용,신청,선발 심사 방식 안내
sbmsnDcmntCn,제출서류내용,신청,신청 시 제출해야 하는 서류 목록
etcMttrCn,기타사항내용,신청,다른 항목에 속하지 않는 기타 안내 사항
aplyUrlAddr,신청URL주소,링크,신청 페이지 주소
refUrlAddr1,참고URL주소1,링크,정책 안내 페이지 주소
refUrlAddr2,참고URL주소2,링크,보조 참고 페이지 주소
sprvsnInstCd,주관기관코드,기관,정책을 주관하는 기관의 코드
sprvsnInstCdNm,주관기관코드명,기관,"정책을 주관하는 기관 이름. 예) 고용노동부, 부산광역시"
sprvsnInstPicNm,주관기관담당자명,기관,주관기관 담당자 이름
operInstCd,운영기관코드,기관,정책을 실제 운영·집행하는 기관의 코드
operInstCdNm,운영기관코드명,기관,정책을 실제 운영·집행하는 기관 이름
operInstPicNm,운영기관담당자명,기관,운영기관 담당자 이름
rgtrInstCd,등록자기관코드,기관,온통청년에 이 정책을 등록한 기관의 코드
rgtrInstCdNm,등록자기관코드명,기관,온통청년에 이 정책을 등록한 기관 이름
rgtrUpInstCd,등록자상위기관코드,기관,등록기관의 상위기관 코드
rgtrUpInstCdNm,등록자상위기관코드명,기관,등록기관의 상위기관 이름
rgtrHghrkInstCd,등록자최상위기관코드,기관,등록기관의 최상위기관 코드
rgtrHghrkInstCdNm,등록자최상위기관코드명,기관,등록기관의 최상위기관 이름
plcyAprvSttsCd,정책승인상태코드,메타,정책 등록의 승인 상태. 신청 / 승인 / 반려 / 임시저장
inqCnt,조회수,메타,온통청년 사이트에서의 조회 수
frstRegDt,최초등록일시,메타,온통청년에 최초 등록된 일시
lastMdfcnDt,최종수정일시,메타,마지막으로 수정된 일시
bscPlanCycl,기본계획 차수,메타,청년정책 기본계획의 차수
bscPlanPlcyWayNo,기본계획 정책방향번호,메타,청년정책 기본계획의 정책방향 번호
bscPlanFcsAsmtNo,기본계획 중점과제번호,메타,청년정책 기본계획의 중점과제 번호
bscPlanAsmtNo,기본계획 과제번호,메타,청년정책 기본계획의 세부과제 번호
