필드명,한글명,그룹,충족률(%),채워진건수,고유값수,다중값최대,코드북,매칭활용,예시값,비고
plcyNo,정책번호,식별,100,534,534,1,,◎,20260718005400113263,유니크 키. 정책 식별의 기준
plcyNm,정책명,식별,100,534,522,1,,◎,K-뉴딜아카데미,표시명. 등록기관 달리해 중복 등재 19종 있음
plcyExplnCn,정책설명내용,식별,100,534,524,1,,○,청년이 선호하는 대기업 등이 직무훈련 및 자율기획훈련을 설계·제공하여 청년의 자신감 회복 및 재도약을 지원,한 줄 요약. 카드 UI에 사용
lclsfNm,정책대분류명,분류,100,534,13,2,,○,교육･직업훈련,공식 5종이나 구분류 혼재 → 정규화 필요
mclsfNm,정책중분류명,분류,100,534,24,2,,○,미래역량강화,공식 17종
plcyKywdNm,정책키워드명,분류,100,534,91,4,,◎,교육지원,"공식 17종, 콤마 다중값. 이탈값 0건이라 신뢰 가능"
pvsnInstGroupCd,제공기관그룹코드,분류,100,534,2,1,O,○,0054001,0054001 중앙부처 297 / 0054002 지자체 237
plcyPvsnMthdCd,정책제공방법코드,분류,100,534,10,1,O,○,0042002,보조금·대출·바우처 등 13종. 단일값
sprtTrgtMinAge,지원대상최소연령,요건,55,296,15,1,,◎,15,0이면 무관. KCB 연령대와 구간 겹침으로 판정
sprtTrgtMaxAge,지원대상최대연령,요건,59,314,27,1,,◎,34,0이면 무관
sprtTrgtAgeLmtYn,지원대상연령제한여부,요건,100,534,2,1,,-,N,⚠️ 신뢰 불가. Y인데 연령값 있는 게 42건 → 쓰지 말 것
zipCd,법정동코드,요건,100,534,19,256,,◎,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,",적용 지역. 콤마 다중값. 전국정책은 200개 이상 나열
jobCd,정책취업요건코드,요건,100,534,21,9,O,△,0013003,콤마 다중값. KCB 직업군 코드북 없어 현재 매핑 불가
schoolCd,정책학력요건코드,요건,100,533,34,9,O,△,0049010,콤마 다중값. KCB에 학력 없음 → 제한없음만 판정
plcyMajorCd,정책전공요건코드,요건,100,534,13,8,O,△,0011009,콤마 다중값. KCB에 전공 없음
mrgSttsCd,결혼상태코드,요건,100,534,2,1,O,△,0055003,단일값. KCB에 혼인상태 없음. 99%가 제한없음
sbizCd,정책특화요건코드,요건,100,534,11,5,O,△,0014010,콤마 다중값. KCB에 없음
earnCndSeCd,소득조건구분코드,요건,100,534,3,1,O,△,0043001,⚠️ 무관으로 찍혔는데 서술에 조건 숨은 게 14건
earnMinAmt,소득최소금액,요건,0,0,0,1,,-,,⚠️ 유효값 0건. 사실상 미사용 필드
earnMaxAmt,소득최대금액,요건,1,5,4,1,,-,5000,⚠️ 유효값 4건뿐
earnEtcCn,소득기타내용,요건,10,54,48,1,,◎,"Ⅰ유형 중위소득60%이하, 중위소득120%이하 / Ⅱ유형 소득,재산무관",🔑 실제 소득요건이 여기 있음. LLM 추출 대상
addAplyQlfcCndCn,추가신청자격조건내용,요건,39,207,198,1,,◎,◦ 군 경력자는 복무기간에 비례하여 참여 제한 연령을 연동하여 적용(최고 만 39세로 한정),🔑 무주택·재산기준 등. LLM 추출 대상
ptcpPrpTrgtCn,참여제안대상내용,요건,21,114,101,1,,◎,"""ㅇ취업중이거나 사업자등록중인 자, 졸업예정자 이외 재학생, 구직등록을 하지 않은 사람, 국가 또는 지자체가",🔑 배제 조건(중복수혜 등). LLM 추출 대상
aplyPrdSeCd,신청기간구분코드,기간,100,534,3,1,O,◎,0057002,0057001 특정기간 / 0057002 상시 / 0057003 마감
bizPrdSeCd,사업기간구분코드,기간,100,534,2,1,O,○,0056002,0056001 특정기간 / 0056002 기타
bizPrdBgngYmd,사업기간시작일자,기간,50,267,77,1,,◎,20260901,YYYYMMDD. 마감 판정에 사용
bizPrdEndYmd,사업기간종료일자,기간,50,267,61,1,,◎,20280229,YYYYMMDD. 534건 중 359건이 이미 경과
bizPrdEtcCn,사업기간기타내용,기간,50,267,122,1,,○,상시,'상시' 등 자유서술
aplyYmd,신청기간,기간,46,244,198,1,,△,20260101 ~ 20261231,자유서술. bizPrd와 별개 — 마감 판정 보완 후보
plcySprtCn,정책지원내용,혜택,100,534,529,1,,◎,"""□ 지원대상 ○ 미취업 청년(15~34세) □ 지원내용 ○ (기업) 훈련비 지원 ○ (청년) 무료 훈련 및",🔑 지원 금액·기간. 효과 수치 추출 대상
sprtSclCnt,지원규모수,혜택,34,179,96,1,,○,5400,선발 인원. 0이면 미지정
sprtSclLmtYn,지원규모제한여부,혜택,100,534,2,1,,○,N,Y/N
sprtArvlSeqYn,지원선착순여부,혜택,97,516,2,1,,○,N,Y/N
plcyAplyMthdCn,정책신청방법내용,신청,61,325,290,1,,○,"""선정된 지자체/운영기관 통해 신청",신청 절차 안내문
srngMthdCn,심사방법내용,신청,37,197,176,1,,○,참여기업 모집 선정 공고 -> 참여기업 선정 -> 아카데미 개설 -> 아카데미 운영,심사 절차
sbmsnDcmntCn,제출서류내용,신청,36,194,171,1,,○,https://www.work24.go.kr,필요 서류
etcMttrCn,기타사항내용,신청,22,116,105,1,,○,"""1. 구직청년 프로그램: 취업컨설팅, 직무교육, 멘토링, 취업연계 등 지원 2. 재직청년 프로그램: 온보딩",기타 안내
aplyUrlAddr,신청URL주소,링크,45,241,204,1,,◎,https://www.nais.or.kr/member/login,신청 페이지. 45%만 채워짐
refUrlAddr1,참고URL주소1,링크,59,317,262,1,,◎,https://www.work24.go.kr,출처 링크. 설명 생성 시 근거로 표시
refUrlAddr2,참고URL주소2,링크,16,87,81,1,,○,https://www.work24.go.kr/wk/k/a/1430/operOrgList.do,보조 링크
sprvsnInstCd,주관기관코드,기관,100,533,150,1,,○,1492000,
sprvsnInstCdNm,주관기관코드명,기관,100,534,150,1,,◎,고용노동부,정책 주체. 표시 및 신뢰도 근거
sprvsnInstPicNm,주관기관담당자명,기관,43,229,178,1,,-,청년정책담당자,개인정보성. 노출 금지 권장
