순위,컬럼,Pearson,Spearman,유효표본,미처리시Pearson
1,대출연체건수,-0.32664361566052486,-0.20526088134985646,100816,-0.32664361566052486
2,연체일수,-0.31016884976269465,-0.22065143144346525,100816,-0.31016884976269465
3,추정월소득,0.2804105349539261,0.4061758146666206,100816,0.2804105349539261
4,추정 연소득,0.26635437231217063,0.38576581310901037,100816,0.26635437231217063
5,총대출건수,-0.23952893196748612,-0.2456607300321531,100816,-0.23952893196748612
6,2년전 추정 연소득 금액,0.22108233384564233,0.30028393987751056,100816,0.22108233384564233
7,추정DTI,-0.18883521561166833,-0.14752788536106573,100816,-0.18883521561166833
8,카드연체건수,-0.17936028986615518,-0.11324673090109115,100816,-0.17936028986615518
9,최근 12개월 일시불이용금액,0.1760334796459422,0.30568625562760726,100816,0.1760334796459422
10,총자산평가금액(주택),0.16188526753210575,0.2168058601237617,100816,0.16188526753210575
11,최근 12개월 신용카드소비금액,0.1428273244169621,0.2938567098010401,100816,0.1428273244169621
12,2년내 현거주지평균전세거래가,0.14246872069058647,0.1768593340462344,34623,0.0770201778327078
13,대출연체금액,-0.13838083779986826,-0.20103030800175714,100816,-0.13838083779986826
14,최근 12개월 체크카드소비금액,-0.1166394014616762,-0.1493123142783933,100816,-0.1166394014616762
15,2년내 이직후 소득 증감액,0.11637944632098589,0.1384908139751093,100816,0.11637944632098589
16,카드연체금액,-0.11115311197171182,-0.11387491967515154,100816,-0.11115311197171182
17,증빙연소득,0.10625199409169464,0.1316217456663399,100816,0.10625199409169464
18,주택담보대출-총대출약정액,0.10000143767846839,0.11478445820841793,100816,0.10000143767846839
19,주택담보대출-총대출잔액,0.09815582701480965,0.11574105155544452,100816,0.09815582701480965
20,연령대,0.09125216972540175,0.13182850974861596,100816,0.09125216972540175
21,"파산, 개인회생 신청 여부",-0.08926760180348901,-0.051240247836380544,100816,-0.08926760180348901
22,최근 12개월 현금서비스이용금액,-0.08229577419883913,-0.16464932035434665,100816,-0.08229577419883913
23,순자산평가금액(주택),0.08080745903693726,0.08341458995444778,100816,0.08080745903693726
24,현 거주지의 아파트여부,0.07549481069829131,0.10432806966660095,100816,0.07549481069829131
25,추정 LTV,0.06103980759610315,0.08551441135621428,100816,0.06103980759610315
26,현 거주지의 매매가(국토부 실거래가) 또는 공시가격,0.05722379073572574,0.08937410721044196,100816,0.05722379073572574
27,최근 12개월 할부이용금액,0.04529425952397489,0.11031986230861886,100816,0.04529425952397489
28,신용대출-총대출잔액,-0.04304305813046883,-0.16214800169775687,100816,-0.04304305813046883
29,신용대출-총대출약정액,-0.038122153426627815,-0.1311090777244786,100816,-0.038122153426627815
30,총 대출 상환금액 (최근 12개월),-0.037189744528308144,-0.09517666725091894,100816,-0.037189744528308144
31,2년내 직장명이력건수,0.036833274650010385,0.059026691159970154,100816,0.036833274650010385
32,Thin Filer 여부,-0.03617853558360529,-0.06780262626475375,100816,-0.03617853558360529
33,2년내 현거주지평균실거래가,0.03051164140903365,0.003638122965121493,29166,0.062326040545287786
34,정책자금대출-총대출약정액,0.00635087347254923,0.005983607818317336,100816,0.00635087347254923
35,정책자금대출-총대출잔액,0.006047032677121249,0.0032297524069880364,100816,0.006047032677121249
