row_id,유형,유형명,대분류,종합점수,유형확신도,소득등급,중위소득대비,정책사각지대,고용형태,상환부담,총대출잔액,소비소득비율,다중채무,현금서비스이용,추정 연소득,신용평점
69486,E1,안정형,안정,53.159,0.636,>120% 안정,1.462,0,자영업,0.426,0,0.894,0,0,45000,980
33307,E1,안정형,안정,53.852,0.982,60~100% 중간지대,0.807,0,급여소득,0.0,2539,0.869,0,0,24831,970
28674,E1,안정형,안정,55.084,0.978,60~100% 중간지대,0.915,0,무직/기타,0.0,0,0.435,0,0,28166,750
73164,E1,안정형,안정,60.002,0.738,100~120% 자립경계,1.048,0,급여소득,0.301,67812,0.881,0,0,32253,946
89553,E1,안정형,안정,61.964,0.656,>120% 안정,1.617,0,급여소득,0.077,20474,0.952,0,0,49751,971
71964,E1,안정형,안정,74.831,0.944,>120% 안정,1.238,0,급여소득,0.0,0,0.416,1,0,38087,948
71854,E1,안정형,안정,75.889,0.975,>120% 안정,1.221,0,급여소득,0.175,0,0.132,0,0,37580,852
91421,E1,안정형,안정,76.788,0.992,>120% 안정,1.676,0,자영업,0.099,48940,0.755,0,0,51581,948
72170,E1,안정형,안정,77.049,0.934,>120% 안정,1.728,0,급여소득,0.0,1760,1.34,0,1,53170,853
68379,E1,안정형,안정,80.532,0.92,>120% 안정,1.276,0,급여소득,0.0,0,0.137,0,0,39249,750
61389,E1,안정형,안정,84.576,0.989,>120% 안정,1.338,0,급여소득,0.018,7165,0.372,0,0,41167,900
64532,E1,안정형,안정,86.002,0.566,>120% 안정,1.698,0,급여소득,0.031,0,0.807,0,0,52253,1000
27687,E1,안정형,안정,86.312,0.864,>120% 안정,1.238,0,급여소득,0.213,0,0.239,0,0,38086,964
50923,E1,안정형,안정,86.331,0.747,100~120% 자립경계,1.143,0,급여소득,0.0,0,0.601,0,0,35168,938
70471,E1,안정형,안정,86.711,0.999,>120% 안정,1.23,0,급여소득,0.289,0,0.182,0,0,37834,977
72077,E1,안정형,안정,87.297,0.999,>120% 안정,1.403,0,급여소득,0.029,0,0.854,0,0,43164,946
79957,E1,안정형,안정,87.337,0.887,>120% 안정,1.644,0,자영업,0.0,5385,1.576,0,0,50585,994
70518,E1,안정형,안정,87.905,0.997,>120% 안정,1.335,0,급여소득,0.0,0,0.676,0,0,41081,940
29946,E1,안정형,안정,90.341,0.997,>120% 안정,1.406,0,급여소득,0.0,0,0.42,0,0,43252,881
80989,E1,안정형,안정,90.349,0.987,>120% 안정,1.736,0,급여소득,0.0,0,0.833,0,0,53416,969
74916,E1,안정형,안정,90.36,0.988,>120% 안정,1.79,0,급여소득,0.0,0,1.129,0,0,55083,959
63039,E1,안정형,안정,91.229,0.999,>120% 안정,1.809,0,급여소득,0.0,0,0.788,0,0,55668,943
36392,E1,안정형,안정,91.24,0.941,>120% 안정,1.343,0,급여소득,0.0,0,0.07,0,0,41334,974
83649,E1,안정형,안정,91.608,0.94,>120% 안정,1.679,0,급여소득,0.054,39000,0.472,0,0,51667,984
81774,E1,안정형,안정,91.989,0.999,>120% 안정,1.711,0,급여소득,0.0,0,0.825,0,0,52664,914
89488,E1,안정형,안정,92.285,0.997,>120% 안정,1.768,0,급여소득,0.226,20006,0.341,0,0,54417,968
47993,E1,안정형,안정,92.418,0.93,>120% 안정,1.238,0,급여소득,0.0,0,0.017,0,0,38083,972
80059,E1,안정형,안정,93.866,0.964,>120% 안정,1.812,0,무직/기타,0.235,0,0.46,0,0,55749,908
76347,E1,안정형,안정,93.876,0.997,>120% 안정,1.346,0,무직/기타,0.0,0,0.335,0,0,41417,956
93110,E1,안정형,안정,93.88,0.941,>120% 안정,1.996,0,급여소득,0.009,33202,0.289,1,0,61418,933
61455,E1,안정형,안정,94.791,1.0,>120% 안정,1.419,0,급여소득,0.111,0,0.317,0,0,43667,1000
73805,E1,안정형,안정,94.993,1.0,>120% 안정,1.622,0,급여소득,0.0,0,0.559,0,0,49918,964
41283,E1,안정형,안정,95.538,0.998,>120% 안정,1.698,0,급여소득,0.0,0,0.223,0,0,52247,958
73915,E1,안정형,안정,97.487,0.972,>120% 안정,1.717,0,급여소득,0.055,0,0.361,0,0,52835,978
70945,E1,안정형,안정,98.636,0.932,>120% 안정,1.991,0,자영업,0.052,0,0.759,0,0,61253,1000
54740,E2,주택대출형,안정,4.249,0.63,>120% 안정,1.538,1,급여소득,0.304,0,3.161,1,1,47333,1000
95564,E2,주택대출형,안정,7.983,0.659,>120% 안정,1.714,1,급여소득,0.439,611182,2.636,0,1,52750,1000
98742,E2,주택대출형,안정,9.273,0.692,>120% 안정,1.676,1,급여소득,1.623,442601,0.686,0,0,51585,944
60090,E2,주택대출형,안정,12.026,0.642,60~100% 중간지대,0.853,0,무직/기타,0.0,0,3.309,0,0,26250,763
100224,E2,주택대출형,안정,20.134,0.914,>120% 안정,1.88,1,자영업,0.0,0,4.36,0,0,57835,984
41769,E2,주택대출형,안정,22.322,0.935,60~100% 중간지대,0.812,0,무직/기타,0.087,0,2.205,0,1,24996,966
94875,E2,주택대출형,안정,38.38,0.878,>120% 안정,1.37,0,자영업,0.439,197784,0.812,0,0,42166,957
97272,E2,주택대출형,안정,40.52,1.0,100~120% 자립경계,1.121,0,급여소득,0.63,347360,0.778,0,0,34502,959
82811,E2,주택대출형,안정,49.392,0.352,>120% 안정,1.395,0,급여소득,0.0,0,1.078,0,0,42918,973
97604,E2,주택대출형,안정,52.835,0.936,100~120% 자립경계,1.159,0,급여소득,0.164,210490,0.562,0,0,35666,935
94712,E2,주택대출형,안정,56.844,1.0,>120% 안정,1.508,0,급여소득,0.13,275000,0.541,0,0,46415,984
98578,E2,주택대출형,안정,58.123,1.0,>120% 안정,1.576,0,급여소득,0.53,305756,0.221,0,0,48502,966
2617,E2,주택대출형,안정,68.232,0.721,>120% 안정,1.422,0,무직/기타,0.0,0,1.717,0,1,43751,1000
76746,E2,주택대출형,안정,69.341,0.729,>120% 안정,1.346,0,자영업,0.0,0,1.461,0,0,41419,839
98272,E2,주택대출형,안정,74.067,1.0,>120% 안정,1.427,0,급여소득,0.041,266025,1.436,0,0,43917,919
73022,E2,주택대출형,안정,74.089,0.719,>120% 안정,1.376,0,무직/기타,0.0,0,1.934,0,0,42334,931
81183,E2,주택대출형,안정,79.22,0.601,>120% 안정,1.441,0,급여소득,0.244,112550,0.047,0,0,44334,969
94709,E2,주택대출형,안정,80.191,1.0,>120% 안정,1.462,0,급여소득,0.225,300000,0.375,0,0,45000,918
96231,E2,주택대출형,안정,81.131,0.954,>120% 안정,1.373,0,자영업,0.141,616000,0.829,0,0,42250,1000
98053,E2,주택대출형,안정,87.722,0.997,>120% 안정,1.728,0,무직/기타,0.047,139274,0.861,0,0,53170,946
97032,E2,주택대출형,안정,91.147,0.998,>120% 안정,1.498,0,급여소득,0.128,496493,0.342,0,0,46082,989
95365,E2,주택대출형,안정,91.195,1.0,>120% 안정,1.441,0,자영업,0.217,386133,0.218,0,0,44335,893
